id;zip;city;state
1;1005;sao paulo;SP
2;1006;sao paulo;SP
3;1007;sao paulo;SP
4;1009;sao paulo;SP
5;1012;sao paulo;SP
6;1013;sao paulo;SP
7;1015;sao paulo;SP
8;1020;sao paulo;SP
9;1022;sao paulo;SP
10;1024;sao paulo;SP
11;1026;sao paulo;SP
12;1027;sao paulo;SP
13;1031;sao paulo;SP
14;1032;sao paulo;SP
15;1033;sao paulo;SP
16;1035;sao paulo;SP
17;1036;sao paulo;SP
18;1037;sao paulo;SP
19;1038;sao paulo;SP
20;1042;sao paulo;SP
21;1044;sao paulo;SP
22;1046;sao paulo;SP
23;1048;sao paulo;SP
24;1049;sao paulo;SP
25;1050;sao paulo;SP
26;1103;sao paulo;SP
27;1105;sao paulo;SP
28;1107;sao paulo;SP
29;1108;sao paulo;SP
30;1120;sao paulo;SP
31;1122;sao paulo;SP
32;1123;sao paulo;SP
33;1125;sao paulo;SP
34;1127;sao paulo;SP
35;1131;sao paulo;SP
36;1135;sao paulo;SP
37;1137;sao paulo;SP
38;1138;sao paulo;SP
39;1140;sao paulo;SP
40;1141;sao paulo;SP
41;1144;sao paulo;SP
42;1150;sao paulo;SP
43;1151;sao paulo;SP
44;1152;sao paulo;SP
45;1153;sao paulo;SP
46;1154;sao paulo;SP
47;1201;sao paulo;SP
48;1203;sao paulo;SP
49;1204;sao paulo;SP
50;1207;sao paulo;SP
51;1208;sao paulo;SP
52;1209;sao paulo;SP
53;1210;sao paulo;SP
54;1211;sao paulo;SP
55;1214;sao paulo;SP
56;1216;sao paulo;SP
57;1217;sao paulo;SP
58;1218;sao paulo;SP
59;1219;sao paulo;SP
60;1220;sao paulo;SP
61;1221;sao paulo;SP
62;1222;sao paulo;SP
63;1223;sao paulo;SP
64;1224;sao paulo;SP
65;1225;sao paulo;SP
66;1226;sao paulo;SP
67;1227;sao paulo;SP
68;1228;sao paulo;SP
69;1229;sao paulo;SP
70;1230;sao paulo;SP
71;1231;sao paulo;SP
72;1232;sao paulo;SP
73;1233;sao paulo;SP
74;1234;sao paulo;SP
75;1238;sao paulo;SP
76;1239;sao paulo;SP
77;1240;sao paulo;SP
78;1242;sao paulo;SP
79;1243;sao paulo;SP
80;1244;sao paulo;SP
81;1246;sao paulo;SP
82;1250;sao paulo;SP
83;1251;sao paulo;SP
84;1252;sao paulo;SP
85;1255;sao paulo;SP
86;1257;sao paulo;SP
87;1258;sao paulo;SP
88;1259;sao paulo;SP
89;1301;sao paulo;SP
90;1303;sao paulo;SP
91;1304;sao paulo;SP
92;1305;sao paulo;SP
93;1306;sao paulo;SP
94;1307;sao paulo;SP
95;1308;sao paulo;SP
96;1309;sao paulo;SP
97;1310;sao paulo;SP
98;1311;sao paulo;SP
99;1312;sao paulo;SP
100;1313;sao paulo;SP
101;1314;sao paulo;SP
102;1315;sao paulo;SP
103;1316;sao paulo;SP
104;1317;sao paulo;SP
105;1318;sao paulo;SP
106;1319;sao paulo;SP
107;1321;sao paulo;SP
108;1322;sao paulo;SP
109;1323;sao paulo;SP
110;1327;sao paulo;SP
111;1328;sao paulo;SP
112;1329;sao paulo;SP
113;1330;sao paulo;SP
114;1331;sao paulo;SP
115;1332;sao paulo;SP
116;1333;sao paulo;SP
117;1401;sao paulo;SP
118;1402;sao paulo;SP
119;1403;sao paulo;SP
120;1404;sao paulo;SP
121;1405;sao paulo;SP
122;1407;sao paulo;SP
123;1408;sao paulo;SP
124;1409;sao paulo;SP
125;1410;sao paulo;SP
126;1411;sao paulo;SP
127;1412;sao paulo;SP
128;1415;sao paulo;SP
129;1416;sao paulo;SP
130;1418;sao paulo;SP
131;1419;sao paulo;SP
132;1420;sao paulo;SP
133;1421;sao paulo;SP
134;1422;sao paulo;SP
135;1423;sao paulo;SP
136;1424;sao paulo;SP
137;1427;sao paulo;SP
138;1431;sao paulo;SP
139;1433;sao paulo;SP
140;1434;sao paulo;SP
141;1435;sao paulo;SP
142;1442;sao paulo;SP
143;1445;sao paulo;SP
144;1447;sao paulo;SP
145;1448;sao paulo;SP
146;1451;sao paulo;SP
147;1452;sao paulo;SP
148;1453;sao paulo;SP
149;1454;sao paulo;SP
150;1455;sao paulo;SP
151;1456;sao paulo;SP
152;1457;sao paulo;SP
153;1501;sao paulo;SP
154;1503;sao paulo;SP
155;1504;sao paulo;SP
156;1508;sao paulo;SP
157;1509;sao paulo;SP
158;1510;sao paulo;SP
159;1511;sao paulo;SP
160;1512;sao paulo;SP
161;1513;sao paulo;SP
162;1514;sao paulo;SP
163;1516;sao paulo;SP
164;1517;sao paulo;SP
165;1519;sao paulo;SP
166;1520;sao paulo;SP
167;1521;sao paulo;SP
168;1523;sao paulo;SP
169;1524;sao paulo;SP
170;1525;sao paulo;SP
171;1526;sao paulo;SP
172;1527;sao paulo;SP
173;1529;sao paulo;SP
174;1530;sao paulo;SP
175;1532;sao paulo;SP
176;1533;sao paulo;SP
177;1534;sao paulo;SP
178;1535;sao paulo;SP
179;1536;sao paulo;SP
180;1537;sao paulo;SP
181;1538;sao paulo;SP
182;1539;sao paulo;SP
183;1541;sao paulo;SP
184;1542;sao paulo;SP
185;1543;sao paulo;SP
186;1544;sao paulo;SP
187;1545;sao paulo;SP
188;1546;sao paulo;SP
189;1547;sao paulo;SP
190;1548;sao paulo;SP
191;1551;sao paulo;SP
192;2012;sao paulo;SP
193;2013;sao paulo;SP
194;2016;sao paulo;SP
195;2017;sao paulo;SP
196;2018;sao paulo;SP
197;2019;sao paulo;SP
198;2020;sao paulo;SP
199;2021;sao paulo;SP
200;2022;sao paulo;SP
201;2031;sao paulo;SP
202;2033;sao paulo;SP
203;2035;sao paulo;SP
204;2036;sao paulo;SP
205;2037;sao paulo;SP
206;2040;sao paulo;SP
207;2042;sao paulo;SP
208;2043;sao paulo;SP
209;2046;sao paulo;SP
210;2052;sao paulo;SP
211;2053;sao paulo;SP
212;2054;sao paulo;SP
213;2056;sao paulo;SP
214;2060;sao paulo;SP
215;2064;sao paulo;SP
216;2066;sao paulo;SP
217;2072;sao paulo;SP
218;2074;sao paulo;SP
219;2075;sao paulo;SP
220;2076;sao paulo;SP
221;2077;sao paulo;SP
222;2079;sao paulo;SP
223;2082;sao paulo;SP
224;2083;sao paulo;SP
225;2111;sao paulo;SP
226;2112;sao paulo;SP
227;2113;sao paulo;SP
228;2115;sao paulo;SP
229;2118;sao paulo;SP
230;2120;sao paulo;SP
231;2122;sao paulo;SP
232;2124;sao paulo;SP
233;2125;sao paulo;SP
234;2128;sao paulo;SP
235;2129;sao paulo;SP
236;2130;sao paulo;SP
237;2131;sao paulo;SP
238;2132;sao paulo;SP
239;2133;sao paulo;SP
240;2134;sao paulo;SP
241;2135;sao paulo;SP
242;2136;sao paulo;SP
243;2139;sao paulo;SP
244;2141;sao paulo;SP
245;2152;sao paulo;SP
246;2166;sao paulo;SP
247;2167;sao paulo;SP
248;2169;sao paulo;SP
249;2178;sao paulo;SP
250;2180;sao paulo;SP
251;2185;sao paulo;SP
252;2186;sao paulo;SP
253;2201;sao paulo;SP
254;2202;sao paulo;SP
255;2205;sao paulo;SP
256;2209;sao paulo;SP
257;2210;sao paulo;SP
258;2212;sao paulo;SP
259;2214;sao paulo;SP
260;2216;sao paulo;SP
261;2217;sao paulo;SP
262;2218;sao paulo;SP
263;2220;sao paulo;SP
264;2223;sao paulo;SP
265;2225;sao paulo;SP
266;2228;sao paulo;SP
267;2229;sao paulo;SP
268;2232;sao paulo;SP
269;2234;sao paulo;SP
270;2235;sao paulo;SP
271;2236;sao paulo;SP
272;2238;sao paulo;SP
273;2241;sao paulo;SP
274;2242;sao paulo;SP
275;2243;sao paulo;SP
276;2244;sao paulo;SP
277;2245;sao paulo;SP
278;2246;sao paulo;SP
279;2247;sao paulo;SP
280;2250;sao paulo;SP
281;2251;sao paulo;SP
282;2252;sao paulo;SP
283;2254;sao paulo;SP
284;2255;sao paulo;SP
285;2256;sao paulo;SP
286;2257;sao paulo;SP
287;2259;sao paulo;SP
288;2260;sao paulo;SP
289;2266;sao paulo;SP
290;2268;sao paulo;SP
291;2269;sao paulo;SP
292;2271;sao paulo;SP
293;2273;sao paulo;SP
294;2276;sao paulo;SP
295;2280;sao paulo;SP
296;2281;sao paulo;SP
297;2290;sao paulo;SP
298;2303;sao paulo;SP
299;2306;sao paulo;SP
300;2307;sao paulo;SP
301;2308;sao paulo;SP
302;2309;sao paulo;SP
303;2310;sao paulo;SP
304;2311;sao paulo;SP
305;2312;sao paulo;SP
306;2313;sao paulo;SP
307;2314;sao paulo;SP
308;2316;sao paulo;SP
309;2318;sao paulo;SP
310;2319;sao paulo;SP
311;2320;sao paulo;SP
312;2321;sao paulo;SP
313;2322;sao paulo;SP
314;2323;sao paulo;SP
315;2324;sao paulo;SP
316;2325;sao paulo;SP
317;2328;sao paulo;SP
318;2330;sao paulo;SP
319;2332;sao paulo;SP
320;2333;sao paulo;SP
321;2334;sao paulo;SP
322;2335;sao paulo;SP
323;2338;sao paulo;SP
324;2339;sao paulo;SP
325;2341;sao paulo;SP
326;2346;sao paulo;SP
327;2347;sao paulo;SP
328;2349;sao paulo;SP
329;2350;sao paulo;SP
330;2352;sao paulo;SP
331;2353;sao paulo;SP
332;2356;sao paulo;SP
333;2357;sao paulo;SP
334;2358;sao paulo;SP
335;2361;sao paulo;SP
336;2362;sao paulo;SP
337;2363;sao paulo;SP
338;2365;sao paulo;SP
339;2366;sao paulo;SP
340;2367;sao paulo;SP
341;2368;sao paulo;SP
342;2371;sao paulo;SP
343;2372;sao paulo;SP
344;2374;sao paulo;SP
345;2376;sao paulo;SP
346;2377;sao paulo;SP
347;2378;sao paulo;SP
348;2401;sao paulo;SP
349;2402;sao paulo;SP
350;2403;sao paulo;SP
351;2404;sao paulo;SP
352;2406;sao paulo;SP
353;2407;sao paulo;SP
354;2408;sao paulo;SP
355;2409;sao paulo;SP
356;2410;sao paulo;SP
357;2415;sao paulo;SP
358;2416;sao paulo;SP
359;2418;sao paulo;SP
360;2420;sao paulo;SP
361;2421;sao paulo;SP
362;2422;sao paulo;SP
363;2430;sao paulo;SP
364;2431;sao paulo;SP
365;2433;sao paulo;SP
366;2435;sao paulo;SP
367;2440;sao paulo;SP
368;2441;sao paulo;SP
369;2442;sao paulo;SP
370;2443;sao paulo;SP
371;2450;sao paulo;SP
372;2451;sao paulo;SP
373;2452;sao paulo;SP
374;2460;sao paulo;SP
375;2461;sao paulo;SP
376;2462;sao paulo;SP
377;2463;sao paulo;SP
378;2467;sao paulo;SP
379;2468;sao paulo;SP
380;2469;sao paulo;SP
381;2470;sao paulo;SP
382;2471;sao paulo;SP
383;2472;sao paulo;SP
384;2473;sao paulo;SP
385;2475;sao paulo;SP
386;2478;sao paulo;SP
387;2512;sao paulo;SP
388;2513;sao paulo;SP
389;2514;sao paulo;SP
390;2515;sao paulo;SP
391;2516;sao paulo;SP
392;2518;sao paulo;SP
393;2519;sao paulo;SP
394;2520;sao paulo;SP
395;2521;sao paulo;SP
396;2523;sao paulo;SP
397;2526;sao paulo;SP
398;2530;sao paulo;SP
399;2531;sao paulo;SP
400;2532;sao paulo;SP
401;2533;sao paulo;SP
402;2534;sao paulo;SP
403;2535;sao paulo;SP
404;2537;sao paulo;SP
405;2540;sao paulo;SP
406;2541;sao paulo;SP
407;2542;sao paulo;SP
408;2543;sao paulo;SP
409;2545;sao paulo;SP
410;2551;sao paulo;SP
411;2552;sao paulo;SP
412;2553;sao paulo;SP
413;2558;sao paulo;SP
414;2562;sao paulo;SP
415;2563;sao paulo;SP
416;2565;sao paulo;SP
417;2610;sao paulo;SP
418;2611;sao paulo;SP
419;2612;sao paulo;SP
420;2613;sao paulo;SP
421;2615;sao paulo;SP
422;2616;sao paulo;SP
423;2617;sao paulo;SP
424;2618;sao paulo;SP
425;2631;sao paulo;SP
426;2632;sao paulo;SP
427;2636;sao paulo;SP
428;2650;sao paulo;SP
429;2671;sao paulo;SP
430;2672;sao paulo;SP
431;2674;sao paulo;SP
432;2675;sao paulo;SP
433;2679;sao paulo;SP
434;2712;sao paulo;SP
435;2717;sao paulo;SP
436;2720;sao paulo;SP
437;2721;sao paulo;SP
438;2722;sao paulo;SP
439;2724;sao paulo;SP
440;2725;sao paulo;SP
441;2728;sao paulo;SP
442;2730;sao paulo;SP
443;2731;sao paulo;SP
444;2733;sao paulo;SP
445;2734;sao paulo;SP
446;2735;sao paulo;SP
447;2736;sao paulo;SP
448;2738;sao paulo;SP
449;2739;sao paulo;SP
450;2750;sao paulo;SP
451;2751;sao paulo;SP
452;2755;sao paulo;SP
453;2757;sao paulo;SP
454;2759;sao paulo;SP
455;2765;sao paulo;SP
456;2801;sao paulo;SP
457;2802;sao paulo;SP
458;2803;sao paulo;SP
459;2804;sao paulo;SP
460;2805;sao paulo;SP
461;2807;sao paulo;SP
462;2808;sao paulo;SP
463;2809;sao paulo;SP
464;2815;sao paulo;SP
465;2831;sao paulo;SP
