ID;total_price;Customer_id;Product_id;Date_id
1;72,19;5119;154;233
2;259,83;3470;123;115
3;216,87;10411;277;334
4;25,78;760;80;513
5;218,04;5618;203;46
6;34,59;7447;183;132
7;31,75;9566;272;306
8;880,75;4231;203;482
9;157,6;7282;188;391
10;65,39;3412;239;479
11;68,87;548;188;394
12;57,98;5138;140;500
13;97,32;2111;24;496
14;63,27;5543;203;363
15;63,27;7781;203;363
16;127,55;6160;41;515
17;650,34;5490;74;423
18;152,77;9499;80;435
19;112,71;1996;41;208
20;41,11;9555;154;369
21;56,78;774;24;394
22;33,84;3145;272;292
23;164,39;4418;72;387
24;64,1;8506;140;373
25;65,5;5240;154;230
26;236,88;8218;41;200
27;315,33;9876;303;343
28;135,41;8352;277;87
29;35,84;6095;124;460
30;137,22;7432;277;305
31;421,65;7607;58;295
32;83,25;308;277;406
33;36,43;5044;41;260
34;36,43;7176;41;260
35;36,43;494;41;260
36;30,6;7844;272;137
37;37;8067;167;334
38;55,11;3960;24;338
39;70,55;10282;203;117
40;853,39;2805;338;108
41;113,71;6027;154;356
42;79,85;4416;277;379
43;42,52;6798;167;322
44;42,52;8914;167;322
45;42,52;10323;167;322
46;62,54;9028;219;482
47;95,09;3947;338;397
48;112,71;3619;24;294
49;26,77;3595;188;128
50;26,77;1266;188;128
51;55,12;10373;123;134
52;87,9;9400;24;34
53;213,21;3971;338;82
54;51,1;1328;188;440
55;101;4422;277;298
56;45,09;2982;277;208
57;123,11;4454;85;418
58;91,39;3361;41;404
59;33,18;3667;239;397
60;193,01;4761;89;433
61;34,09;10005;338;321
62;419,39;2761;41;482
63;156,75;8505;338;375
64;120,43;4598;272;39
65;164,8;7236;154;278
66;293,36;368;272;298
67;68,12;3798;277;368
68;57,17;9954;272;496
69;45,3;5579;175;518
70;135,59;4730;80;313
71;514,37;2268;188;528
72;113,44;4133;36;428
73;109,45;1554;277;364
74;265,55;3814;154;161
75;119,57;4143;106;382
76;86,9;8052;183;439
77;86,9;3980;183;439
78;169,84;9422;80;292
79;284,13;818;277;477
80;77,29;4393;24;392
81;16,15;7128;36;199
82;77,47;8357;74;199
83;78,27;9095;183;294
84;292,24;4518;89;401
85;55,28;5415;183;515
86;110,07;424;344;410
87;186,19;4623;183;382
88;117,35;5844;303;133
89;117,35;1647;303;133
90;80,79;3518;36;188
91;177,01;4591;123;423
92;69,84;1850;24;242
93;69,84;5554;24;242
94;261,33;1085;203;489
95;67,34;407;188;520
96;99,11;3163;24;210
97;150,44;3554;154;304
98;34;1402;277;368
99;203,03;4317;72;507
100;423,63;2226;36;259
101;52,85;5119;41;352
102;87,58;1051;80;466
103;87,58;4087;80;466
104;203,23;5902;41;482
105;134,28;7818;183;519
106;58,7;6059;219;506
107;97,9;4592;183;506
108;228,89;4391;338;388
109;312,74;3609;189;292
110;94,74;6824;188;519
111;64,85;4269;272;484
112;102,3;10300;338;373
113;102,3;3173;338;373
114;238,8;537;189;355
115;99,9;4439;189;434
116;119,29;5076;338;343
117;222,91;9990;277;134
118;56,78;3254;189;250
119;53,27;5690;183;482
120;196,07;7988;167;441
121;130,74;729;188;205
122;110,41;4620;47;464
123;137,72;5180;74;453
124;15,57;5184;154;244
125;265,96;10372;277;245
126;18,56;2670;154;50
127;67,5;9076;203;323
128;118,62;8755;188;482
129;60,85;1913;272;318
130;221,08;5893;80;460
131;147,39;275;106;316
132;33,48;8961;41;197
133;138,6;9626;154;374
134;92,74;3304;154;295
135;143,92;2539;154;152
136;109,89;3643;24;355
137;109,89;1225;24;355
138;42,29;9916;124;512
139;42,29;7493;124;512
140;42,29;5226;124;512
141;42,29;5911;124;512
142;189,37;10166;338;366
143;37,09;1490;154;340
144;195;8547;80;134
145;195;5246;80;134
146;122,17;4413;272;187
147;114,9;6353;272;215
148;133,75;10334;188;409
149;89,28;48;189;358
150;61,38;2193;338;100
151;110,84;3751;41;106
152;63,57;3653;89;263
153;38,57;2974;89;263
154;43,11;418;36;263
155;136,7;1656;338;370
156;86,15;8437;41;376
157;93,92;4794;189;276
158;180,21;8152;36;503
159;556,22;1535;189;382
160;221,07;9690;154;229
161;23,17;5581;60;370
162;55,75;1981;88;241
163;226,28;4416;89;460
164;54,06;1705;24;424
165;489,85;3604;167;295
166;75,17;5665;277;217
167;51,69;6940;199;344
168;51,69;5373;199;344
169;113,43;534;41;247
170;91,79;2766;338;500
171;250,79;6914;36;507
172;70,14;3180;154;364
173;81,98;1050;36;207
174;57,68;1046;140;301
175;21,39;8124;41;514
176;43,1;5805;189;321
177;142,06;8984;203;127
178;529,35;2945;144;409
179;52,64;8679;188;393
180;163,6;8934;36;190
181;192,44;9247;183;341
182;234,89;10373;36;437
183;137,16;5625;189;284
184;152,71;8900;189;350
185;47,96;8527;41;114
186;168,83;2150;188;167
187;336,38;6014;277;278
188;57,29;4461;41;430
189;162,85;10317;24;421
190;83,59;996;24;241
191;195;7112;167;367
192;43;3994;41;295
193;55,11;5327;277;352
194;21,1;889;272;208
195;279,7;7742;164;362
196;117,85;5083;24;283
197;85,14;8425;24;173
198;113,03;2379;164;387
199;184,3;3628;60;386
200;69,72;504;89;205
201;269,63;5578;80;266
202;62,65;9096;189;505
203;149,69;3337;41;129
204;54,13;803;164;449
205;33,12;3768;188;401
206;112;3711;188;425
207;99,44;4114;164;379
208;70,88;93;188;440
209;146,84;5402;24;509
210;25,22;4664;36;458
211;25,22;3732;36;458
212;62,65;9698;47;328
213;207,74;4179;24;393
214;157,34;2932;183;179
215;286,09;5566;47;476
216;65,55;3158;188;59
217;45,53;43;189;524
218;96,62;2960;183;464
219;142,96;7400;47;284
220;118,47;1148;123;306
221;114,25;3251;123;306
222;25,87;2944;219;473
223;18,92;10358;80;429
224;309,4;4363;41;344
225;104,79;1574;74;75
226;62,66;9054;189;287
227;180,37;2154;47;485
228;146,18;5623;164;270
229;94,66;6736;154;216
230;70,59;3924;164;524
231;189,16;10013;203;377
232;318,68;3062;203;377
233;176,4;8557;24;465
234;165,03;5436;24;240
235;58,22;4298;24;391
236;58,22;3352;24;391
237;62,82;2331;188;501
238;143,24;1405;80;436
239;32;1287;203;294
240;45,09;2831;272;333
241;65,14;1939;203;265
242;100,33;9159;80;161
243;194,12;3324;164;364
244;57,72;7989;183;430
245;168,35;3158;41;306
246;291,43;1617;277;296
247;32,64;4283;167;497
248;61,77;5076;80;307
249;23,38;96;106;506
250;36,35;2481;74;270
251;201,99;5951;183;440
252;59,33;5751;47;425
253;112,46;5016;164;496
254;112,46;5789;164;496
255;112,46;9387;164;496
256;118,14;3040;277;406
257;196,4;10364;144;163
258;47,09;4256;20;224
259;69,9;6397;277;433
260;122,17;2077;24;128
261;75,29;7152;164;518
262;125,41;5269;41;294
263;48,38;9131;80;224
264;46,53;4573;41;463
265;35,36;6672;188;512
266;644,34;9092;295;451
267;123,47;9723;277;364
268;56,32;601;298;406
269;147,26;3356;72;347
270;68,25;77;189;506
271;37,16;3197;47;434
272;90,73;10428;89;369
273;51,75;6350;41;161
274;122,87;2167;202;491
275;49,12;3227;47;512
276;49,12;9814;47;512
277;159,69;6039;189;517
278;216,51;5121;140;350
279;165,91;9848;188;323
280;67,58;842;140;526
281;28,88;6689;167;395
282;48,01;10447;24;343
283;50,59;3432;203;24
284;173,49;3992;164;519
285;59,25;4589;106;326
286;71,19;5896;183;197
287;71,05;7798;88;427
288;238,66;2943;272;514
289;238,66;2762;272;514
290;93,6;4243;47;442
291;65,31;4461;188;373
292;56,5;5120;24;343
293;39,09;5452;272;300
294;149,1;2714;189;495
295;97,87;2518;188;206
296;84,69;3692;188;111
297;181,3;5671;201;186
298;191,71;9864;201;186
299;218,19;8907;201;186
300;181,3;5402;201;186
301;112,62;5066;201;421
302;85,8;9951;189;335
303;34,28;6844;41;301
304;137,83;3749;189;460
305;139,98;4231;41;381
306;52,39;9419;175;446
307;469,39;3619;188;246
308;156,46;357;277;233
309;156,46;636;277;233
310;31,38;5671;167;326
311;46,69;3392;188;266
312;55;9312;277;334
313;72,7;7194;80;497
314;266,69;1298;47;305
315;39,39;8024;188;458
316;128,35;1626;344;459
317;94,55;7800;24;457
318;39,09;3370;80;268
319;92,91;5992;106;423
320;77,57;4398;203;281
321;35;3589;167;358
322;173,2;2635;183;432
323;1075,74;3633;24;430
324;124,9;9560;41;208
325;387,57;4016;47;416
326;56,29;7241;277;63
327;30,09;1628;257;135
328;30,09;1078;257;135
329;30,09;5183;257;135
330;30,09;2891;257;135
331;144,03;2418;198;179
332;126,74;3202;257;347
333;189,37;7130;201;349
334;34;5777;277;355
335;69,07;8061;9;496
336;334,68;4082;189;398
337;74,49;2139;201;51
338;45,1;319;277;155
339;90,17;3154;272;55
340;74,69;2372;188;475
341;179;9767;188;387
342;80,29;9326;41;513
343;85,08;1796;24;394
344;85,08;3061;24;394
345;872,52;9508;197;459
346;32,84;2872;272;244
347;33,97;5887;123;110
348;94,12;3788;151;137
349;94,12;6939;151;137
350;80,23;5152;41;379
351;138,16;1449;188;386
352;203,67;4443;277;440
353;347,56;8073;277;382
354;130,88;9073;154;262
355;48,7;10431;201;119
356;48,7;7067;201;119
357;379,2;5372;188;254
358;144,22;8308;267;370
359;203,67;5470;189;289
360;134,57;4617;203;155
361;118,82;9194;41;382
362;94,3;8702;201;379
363;86,55;8907;188;393
364;437,59;3228;9;133
365;322,17;3105;277;427
366;194,33;6304;189;524
367;64;4847;140;205
368;56,75;10354;36;175
369;56,75;5836;36;175
370;54,32;2116;272;515
371;175,77;4100;154;382
372;152,2;1572;189;478
373;58,7;3250;188;106
374;146,87;2653;72;131
375;108,32;2771;272;470
376;49,1;10321;277;296
377;107,6;6085;80;327
378;187,96;4050;201;318
379;61,01;4469;154;144
380;98,26;3546;74;526
381;63,27;4237;203;358
382;76,17;852;36;334
383;89,96;4002;188;458
384;84,79;206;24;517
385;288,88;2539;189;507
386;101,34;4068;80;317
387;44,33;3660;36;295
388;44,33;75;36;295
389;44,33;6944;36;295
390;44,33;4748;36;295
391;101,25;9281;144;513
392;47,67;457;60;370
393;86,22;8498;183;100
394;156,33;9858;24;171
395;54,61;2722;24;295
396;94,65;3374;257;488
397;285,81;3295;251;484
398;221,07;1295;277;193
399;231,79;6814;154;433
400;54,44;846;277;509
401;54,44;2929;277;509
402;54,44;3532;277;509
403;64,42;6166;272;120
404;80,67;5148;41;334
405;58,35;6312;219;517
406;58,35;545;219;517
407;58,35;755;219;517
408;163,77;9095;5;341
409;60,94;8060;80;265
410;166,62;5507;188;419
411;89,61;3902;201;443
412;40,76;2324;29;508
413;28,69;7705;36;141
414;28,69;4736;36;141
415;30,95;107;272;71
416;24,01;5789;201;289
417;104,11;10176;183;520
418;50,34;7538;154;334
419;35,85;5076;183;276
420;150,2;3393;189;423
421;206,09;4312;24;245
422;206,09;5113;24;245
423;170,15;4621;188;101
